sale_id,transaction_id,line_number,customer_id,product_id,transaction_date,quantity,unit_price,discount_amount,tax_amount,payment_method,channel,store_id
STG-0000001,TXN-0000001,1,CUST-00423,PROD-0078,2022-04-02,1,15.73,0.0,1.3,PayPal,In-Store,STORE-002
STG-0000002,TXN-0000002,1,CUST-00443,PROD-0025,2024-01-06,1,336.27,0.0,30.67,Cash,Online,
STG-0000003,TXN-0000002,2,CUST-00443,PROD-0087,2024-01-06,1,19.43,2.91,1.42,Cash,Online,
STG-0000004,TXN-0000002,3,CUST-00443,PROD-0032,2024-01-06,1,88.03,0.0,8.12,Cash,Online,
STG-0000005,TXN-0000003,1,CUST-00491,PROD-0032,2023-01-19,1,86.85,0.0,6.83,Debit Card,Online,
STG-0000006,TXN-0000004,1,CUST-00419,PROD-0061,2022-12-13,5,138.92,69.46,51.55,Credit Card,In-Store,STORE-009
STG-0000007,TXN-0000004,2,CUST-00419,PROD-0067,2022-12-13,1,299.18,14.96,22.53,Credit Card,In-Store,STORE-009
STG-0000008,TXN-0000005,1,CUST-00123,PROD-0065,2024-09-10,1,112.4,0.0,7.0,Credit Card,In-Store,STORE-005
STG-0000009,TXN-0000006,1,CUST-00409,PROD-0016,2022-01-05,2,1436.29,574.52,161.73,Credit Card,In-Store,STORE-003
STG-0000010,TXN-0000006,2,CUST-00409,PROD-0091,2022-01-05,1,34.42,0.0,3.04,Credit Card,In-Store,STORE-003
STG-0000011,TXN-0000007,1,CUST-00092,PROD-0036,2023-05-24,2,30.11,9.03,4.45,Credit Card,Online,
STG-0000012,TXN-0000008,1,CUST-00433,PROD-0022,2023-07-08,1,108.33,0.0,7.62,PayPal,Mobile App,
STG-0000013,TXN-0000009,1,CUST-00371,PROD-0092,2024-08-22,1,24.61,0.0,2.33,Cash,In-Store,STORE-006
STG-0000014,TXN-0000009,2,CUST-00371,PROD-0097,2024-08-22,3,62.58,0.0,15.66,Cash,In-Store,STORE-006
STG-0000015,TXN-0000010,1,CUST-00057,PROD-0090,2024-01-20,1,19.95,2.0,1.44,Debit Card,In-Store,STORE-010
STG-0000016,TXN-0000011,1,CUST-00170,PROD-0086,2024-05-22,1,21.68,0.0,1.79,Credit Card,In-Store,STORE-003
STG-0000017,TXN-0000011,2,CUST-00170,PROD-0074,2024-05-22,1,145.34,0.0,12.88,Credit Card,In-Store,STORE-003
STG-0000018,TXN-0000012,1,CUST-00227,PROD-0063,2022-08-15,1,47.77,0.0,4.32,Credit Card,Online,
STG-0000019,TXN-0000012,2,CUST-00227,PROD-0015,2022-08-15,2,781.89,0.0,141.59,Credit Card,Online,
STG-0000020,TXN-0000013,1,CUST-00286,PROD-0050,2023-02-28,1,180.61,0.0,12.28,Debit Card,Online,
STG-0000021,TXN-0000014,1,CUST-00015,PROD-0046,2023-05-13,1,140.54,7.03,9.22,PayPal,In-Store,STORE-004
STG-0000022,TXN-0000015,1,CUST-00141,PROD-0035,2024-01-23,3,35.38,0.0,7.6,Debit Card,In-Store,STORE-005
STG-0000023,TXN-0000015,2,CUST-00141,PROD-0080,2024-01-23,1,16.63,0.0,1.59,Debit Card,In-Store,STORE-005
STG-0000024,TXN-0000016,1,CUST-00158,PROD-0058,2023-05-04,4,38.81,23.29,10.05,Credit Card,Mobile App,
STG-0000025,TXN-0000016,2,CUST-00158,PROD-0014,2023-05-04,2,1371.88,0.0,245.19,Credit Card,Mobile App,
STG-0000026,TXN-0000016,3,CUST-00158,PROD-0032,2023-05-04,1,87.97,0.0,7.57,Credit Card,Mobile App,
STG-0000027,TXN-0000017,1,CUST-00454,PROD-0077,2024-07-28,1,85.79,0.0,8.02,Debit Card,In-Store,STORE-001
STG-0000028,TXN-0000018,1,CUST-00056,PROD-0013,2024-04-13,1,1445.63,72.28,117.03,Credit Card,In-Store,STORE-005
STG-0000029,TXN-0000019,1,CUST-00321,PROD-0089,2022-11-07,1,16.86,1.69,0.97,Credit Card,Online,
STG-0000030,TXN-0000020,1,CUST-00057,PROD-0058,2024-09-30,2,39.81,7.96,7.09,Credit Card,In-Store,STORE-004
STG-0000031,TXN-0000020,2,CUST-00057,PROD-0056,2024-09-30,1,46.25,0.0,3.79,Credit Card,In-Store,STORE-004
STG-0000032,TXN-0000021,1,CUST-00341,PROD-0067,2022-10-20,1,288.81,0.0,23.96,Credit Card,Online,
STG-0000033,TXN-0000021,2,CUST-00341,PROD-0087,2022-10-20,4,19.11,7.64,4.33,Credit Card,Online,
STG-0000034,TXN-0000021,3,CUST-00341,PROD-0043,2022-10-20,4,163.35,32.67,48.58,Credit Card,Online,
STG-0000035,TXN-0000022,1,CUST-00118,PROD-0076,2024-07-17,1,40.88,2.04,2.99,PayPal,In-Store,STORE-001
STG-0000036,TXN-0000022,2,CUST-00118,PROD-0064,2024-07-17,3,18.59,5.58,3.03,PayPal,In-Store,STORE-001
STG-0000037,TXN-0000022,3,CUST-00118,PROD-0036,2024-07-17,2,29.4,0.0,5.63,PayPal,In-Store,STORE-001
STG-0000038,TXN-0000023,1,CUST-00120,PROD-0091,2024-07-28,1,34.26,0.0,2.68,Credit Card,Online,
STG-0000039,TXN-0000023,2,CUST-00120,PROD-0086,2024-07-28,2,22.61,0.0,3.48,Credit Card,Online,
STG-0000040,TXN-0000023,3,CUST-00120,PROD-0075,2024-07-28,1,93.92,0.0,8.36,Credit Card,Online,
STG-0000041,TXN-0000024,1,CUST-00431,PROD-0089,2022-07-06,2,17.05,0.0,2.56,Apple Pay,In-Store,STORE-008
STG-0000042,TXN-0000024,2,CUST-00431,PROD-0090,2022-07-06,1,19.27,0.96,1.71,Apple Pay,In-Store,STORE-008
STG-0000043,TXN-0000024,3,CUST-00431,PROD-0079,2022-07-06,1,61.37,9.21,3.37,Apple Pay,In-Store,STORE-008
STG-0000044,TXN-0000025,1,CUST-00025,PROD-0088,2023-04-05,1,21.82,1.09,2.05,Credit Card,In-Store,STORE-009
STG-0000045,TXN-0000026,1,CUST-00152,PROD-0078,2022-04-05,2,15.55,0.0,2.3,Cash,Online,
STG-0000046,TXN-0000026,2,CUST-00152,PROD-0077,2022-04-05,1,86.21,8.62,6.39,Cash,Online,
STG-0000047,TXN-0000027,1,CUST-00026,PROD-0070,2022-10-30,3,443.41,133.02,75.42,Credit Card,Online,
STG-0000048,TXN-0000027,2,CUST-00026,PROD-0082,2022-10-30,1,47.92,9.58,2.38,Credit Card,Online,
STG-0000049,TXN-0000027,3,CUST-00026,PROD-0026,2022-10-30,2,90.61,0.0,12.58,Credit Card,Online,
STG-0000050,TXN-0000028,1,CUST-00405,PROD-0091,2024-03-24,5,34.21,8.55,9.87,PayPal,In-Store,STORE-008
STG-0000051,TXN-0000029,1,CUST-00025,PROD-0091,2024-02-23,5,35.2,8.8,15.99,PayPal,Online,
STG-0000052,TXN-0000030,1,CUST-00310,PROD-0005,2023-03-15,3,1002.11,300.63,198.27,Credit Card,Online,
STG-0000053,TXN-0000031,1,CUST-00275,PROD-0088,2023-01-21,1,21.42,1.07,1.22,Credit Card,Online,
STG-0000054,TXN-0000031,2,CUST-00275,PROD-0022,2023-01-21,2,109.48,21.9,16.14,Credit Card,Online,
STG-0000055,TXN-0000032,1,CUST-00054,PROD-0042,2023-08-08,2,105.26,0.0,14.77,Debit Card,Mobile App,
STG-0000056,TXN-0000033,1,CUST-00057,PROD-0081,2023-10-20,1,39.52,0.0,3.57,Credit Card,Mobile App,
STG-0000057,TXN-0000034,1,CUST-00306,PROD-0026,2024-12-24,1,94.31,4.72,7.18,Credit Card,Online,
STG-0000058,TXN-0000035,1,CUST-00005,PROD-0087,2022-01-17,1,19.04,2.86,1.48,Debit Card,Online,
STG-0000059,TXN-0000035,2,CUST-00005,PROD-0088,2022-01-17,2,22.01,0.0,4.08,Debit Card,Online,
STG-0000060,TXN-0000035,3,CUST-00005,PROD-0059,2022-01-17,2,86.59,8.66,11.99,Debit Card,Online,
STG-0000061,TXN-0000036,1,CUST-00188,PROD-0002,2023-04-09,1,895.29,0.0,64.25,Cash,Online,
STG-0000062,TXN-0000036,2,CUST-00188,PROD-0037,2023-04-09,1,76.53,3.83,6.94,Cash,Online,
STG-0000063,TXN-0000037,1,CUST-00431,PROD-0070,2023-02-10,1,440.49,0.0,30.12,Credit Card,Online,
STG-0000064,TXN-0000038,1,CUST-00339,PROD-0099,2022-11-14,5,79.77,0.0,32.59,Credit Card,Mobile App,
STG-0000065,TXN-0000038,2,CUST-00339,PROD-0072,2022-11-14,2,309.01,61.8,45.88,Credit Card,Mobile App,
STG-0000066,TXN-0000039,1,CUST-00477,PROD-0035,2022-08-12,1,36.95,3.7,2.56,Cash,Online,
STG-0000067,TXN-0000040,1,CUST-00054,PROD-0072,2023-04-05,2,300.97,0.0,43.02,Credit Card,In-Store,STORE-001
STG-0000068,TXN-0000041,1,CUST-00423,PROD-0062,2022-02-09,1,112.99,11.3,6.52,Credit Card,Online,
STG-0000069,TXN-0000042,1,CUST-00369,PROD-0084,2022-02-14,1,38.02,3.8,3.15,Cash,Mobile App,
STG-0000070,TXN-0000042,2,CUST-00369,PROD-0019,2022-02-14,2,917.58,275.27,117.78,Cash,Mobile App,
STG-0000071,TXN-0000043,1,CUST-00491,PROD-0083,2024-10-09,1,39.35,3.94,3.34,Debit Card,In-Store,STORE-001
STG-0000072,TXN-0000043,2,CUST-00491,PROD-0062,2024-10-09,1,110.92,5.55,9.31,Debit Card,In-Store,STORE-001
STG-0000073,TXN-0000043,3,CUST-00491,PROD-0097,2024-10-09,1,62.38,3.12,4.02,Debit Card,In-Store,STORE-001
STG-0000074,TXN-0000044,1,CUST-00092,PROD-0042,2024-09-27,1,101.33,0.0,7.61,Apple Pay,In-Store,STORE-002
STG-0000075,TXN-0000044,2,CUST-00092,PROD-0072,2024-09-27,1,305.18,0.0,25.44,Apple Pay,In-Store,STORE-002
